время, масса, высота, скорость
0.00, 175909.81, 87.40, 0.00
0.02, 175909.81, 87.40, 0.00
0.04, 175909.81, 87.40, 0.00
0.06, 175909.81, 87.40, 0.00
0.08, 175909.81, 87.40, 0.00
0.10, 175909.81, 87.40, 0.00
0.12, 175909.81, 87.40, 0.00
0.14, 175909.81, 87.40, 0.00
0.16, 175909.81, 87.40, 0.00
0.18, 175909.81, 87.40, 0.00
0.20, 175909.81, 87.40, 0.00
0.22, 175909.81, 87.40, 0.00
0.24, 175909.81, 87.40, 0.00
0.26, 175909.81, 87.40, 0.00
0.28, 175909.81, 87.40, 0.00
0.30, 175909.81, 87.40, 0.00
0.32, 175909.81, 87.40, 0.00
0.34, 175909.81, 87.40, 0.00
0.36, 175909.81, 87.40, 0.00
0.38, 175909.81, 87.40, 0.00
0.40, 175909.81, 87.40, 0.00
0.42, 175909.81, 87.40, 0.00
0.44, 175909.81, 87.40, 0.00
0.46, 175909.81, 87.40, 0.00
0.48, 175909.81, 87.40, 0.00
0.50, 175909.81, 87.40, 0.00
0.52, 175909.81, 87.40, 0.00
0.54, 175909.81, 87.40, 0.00
0.56, 175909.81, 87.40, 0.00
0.58, 175909.81, 87.40, 0.00
0.60, 175909.81, 87.40, 0.00
0.62, 175909.81, 87.40, 0.00
0.64, 175909.81, 87.40, 0.00
0.66, 175909.81, 87.40, 0.00
0.68, 175909.81, 87.40, 0.00
0.70, 175909.81, 87.40, 0.00
0.72, 175909.81, 87.40, 0.00
0.74, 175909.81, 87.40, 0.00
0.76, 175909.81, 87.40, 0.00
0.78, 175909.81, 87.40, 0.00
0.80, 175909.81, 87.40, 0.00
0.82, 175909.81, 87.40, 0.00
0.84, 175909.81, 87.40, 0.00
0.86, 175909.81, 87.40, 0.00
0.88, 175909.81, 87.40, 0.00
0.90, 175909.81, 87.40, 0.00
0.92, 175909.81, 87.40, 0.00
0.94, 175909.81, 87.40, 0.00
0.96, 175909.81, 87.40, 0.00
0.98, 175909.81, 87.40, 0.00
1.00, 175909.81, 87.40, 0.00
1.02, 175909.81, 87.40, 0.00
1.04, 175909.81, 87.40, 0.00
1.06, 175909.81, 87.40, 0.00
1.08, 175909.81, 87.40, 0.00
1.10, 175909.81, 87.40, 0.00
1.12, 175909.81, 87.40, 0.00
1.14, 175909.81, 87.40, 0.00
1.16, 175909.81, 87.40, 0.00
1.18, 175909.81, 87.40, 0.00
1.20, 175909.81, 87.40, 0.00
1.22, 175909.81, 87.40, 0.00
1.24, 175909.81, 87.40, 0.00
1.26, 175909.81, 87.40, 0.00
1.28, 175909.81, 87.40, 0.00
1.30, 175909.81, 87.40, 0.00
1.32, 175909.81, 87.40, 0.00
1.34, 175909.81, 87.40, 0.00
1.36, 175909.81, 87.40, 0.00
1.38, 175909.81, 87.40, 0.00
1.40, 175909.81, 87.40, 0.00
1.42, 175909.81, 87.40, 0.00
1.44, 175909.81, 87.40, 0.00
1.46, 175909.81, 87.40, 0.00
1.48, 175909.81, 87.40, 0.00
1.50, 175909.81, 87.40, 0.00
1.52, 175909.81, 87.40, 0.00
1.54, 175909.81, 87.40, 0.00
1.56, 175909.81, 87.40, 0.00
1.58, 175909.81, 87.40, 0.00
1.60, 175909.81, 87.40, 0.00
1.62, 175909.81, 87.40, 0.00
1.64, 175909.81, 87.40, 0.00
1.66, 175909.81, 87.40, 0.00
1.68, 175909.81, 87.40, 0.00
1.70, 175909.81, 87.40, 0.00
1.72, 175909.81, 87.40, 0.00
1.74, 175909.81, 87.40, 0.00
1.76, 175909.81, 87.40, 0.00
1.78, 175909.81, 87.40, 0.00
1.80, 175909.81, 87.40, 0.00
1.82, 175909.81, 87.40, 0.00
1.84, 175909.81, 87.40, 0.00
1.86, 175909.81, 87.40, 0.00
1.88, 175909.81, 87.40, 0.00
1.90, 175909.81, 87.40, 0.00
1.92, 175909.81, 87.40, 0.00
1.94, 175909.81, 87.40, 0.00
1.96, 175909.81, 87.40, 0.00
1.98, 175909.81, 87.40, 0.00
2.00, 175909.81, 87.40, 0.00
2.02, 175909.81, 87.40, 0.00
2.04, 175909.81, 87.40, 0.00
2.06, 175909.81, 87.40, 0.00
2.08, 175909.81, 87.40, 0.00
2.10, 175909.81, 87.40, 0.00
2.12, 175909.81, 87.40, 0.00
2.14, 175909.81, 87.40, 0.00
2.16, 175909.81, 87.40, 0.00
2.18, 175909.81, 87.40, 0.00
2.20, 175909.81, 87.40, 0.00
2.22, 175909.81, 87.40, 0.00
2.24, 175909.81, 87.40, 0.00
2.26, 175909.81, 87.40, 0.00
2.28, 175909.81, 87.40, 0.00
2.30, 175909.81, 87.40, 0.00
2.32, 175909.81, 87.40, 0.00
2.34, 175909.81, 87.40, 0.00
2.36, 175909.81, 87.40, 0.00
2.38, 175909.81, 87.40, 0.00
2.40, 175909.81, 87.40, 0.00
2.42, 175909.81, 87.40, 0.00
2.44, 175909.81, 87.40, 0.00
2.46, 175909.81, 87.40, 0.00
2.48, 175909.81, 87.40, 0.00
2.50, 175909.81, 87.40, 0.00
2.52, 175909.81, 87.40, 0.00
2.54, 175909.81, 87.40, 0.00
2.56, 175909.81, 87.40, 0.00
2.58, 175909.81, 87.40, 0.00
2.60, 175909.81, 87.40, 0.00
2.62, 175909.81, 87.40, 0.00
2.64, 175909.81, 87.40, 0.00
2.66, 175909.81, 87.40, 0.00
2.68, 175909.81, 87.40, 0.00
2.70, 175909.81, 87.40, 0.00
2.72, 175909.81, 87.40, 0.00
2.74, 175909.81, 87.40, 0.00
2.76, 175909.81, 87.40, 0.00
2.78, 175909.81, 87.40, 0.00
2.80, 175909.81, 87.40, 0.00
2.82, 175909.81, 87.40, 0.00
2.84, 175909.81, 87.40, 0.00
2.86, 175909.81, 87.40, 0.00
