время, масса, высота, скорость
0, 175909.81, 87.46, 0.00
1, 175909.81, 87.46, 0.00
2, 175909.81, 87.46, 0.00
3, 175909.81, 87.46, 0.00
4, 175909.81, 87.46, 0.00
5, 175909.81, 87.46, 0.00
6, 175909.81, 87.46, 0.00
7, 175246.75, 88.64, 3.35
8, 174307.42, 94.71, 8.44
9, 173386.50, 105.74, 13.50
10, 172447.17, 122.24, 18.74
11, 171507.83, 144.13, 24.06
12, 170568.50, 171.49, 29.46
13, 169629.17, 204.40, 34.95
14, 168781.92, 238.92, 39.96
15, 167861.02, 281.70, 45.48
16, 166921.67, 331.07, 51.19
17, 166000.77, 385.16, 56.87
18, 165061.42, 446.22, 62.74
19, 164140.52, 511.92, 68.56
20, 163201.17, 584.97, 74.56
21, 162261.83, 664.19, 80.65
22, 161322.50, 749.65, 86.81
23, 160383.17, 841.44, 93.06
24, 159443.84, 939.64, 99.38
25, 158504.50, 1044.31, 105.77
26, 157565.17, 1155.54, 112.25
27, 156644.25, 1271.02, 118.66
28, 155704.92, 1395.45, 125.28
29, 154765.58, 1526.68, 131.98
30, 153826.25, 1664.76, 138.75
31, 152886.92, 1809.76, 145.59
32, 151947.59, 1961.76, 152.52
33, 151008.25, 2120.86, 159.55
34, 150068.91, 2287.16, 166.68
35, 149129.58, 2460.74, 173.87
36, 148208.66, 2638.04, 180.99
37, 147269.33, 2826.22, 188.33
38, 146348.42, 3017.98, 195.60
39, 145409.08, 3221.05, 203.10
40, 144469.75, 3431.75, 210.69
41, 143530.42, 3650.17, 218.37
42, 142591.08, 3876.39, 226.14
43, 141651.75, 4110.49, 234.02
44, 140730.83, 4347.75, 241.83
45, 139791.48, 4597.76, 249.91
46, 138852.16, 4855.94, 258.10
47, 137912.83, 5122.40, 266.41
48, 136973.48, 5397.23, 274.80
49, 136034.16, 5680.46, 283.23
50, 135094.81, 5972.09, 291.69
51, 134155.48, 6272.13, 300.23
52, 133216.16, 6580.71, 308.94
53, 132276.81, 6898.01, 317.90
54, 131337.48, 7224.30, 327.12
55, 130398.16, 7559.75, 336.49
56, 129458.82, 7904.41, 345.96
57, 128519.48, 8258.35, 355.55
58, 127598.56, 8614.48, 365.13
59, 126640.81, 8994.62, 375.15
60, 125701.48, 9377.32, 385.54
61, 124762.15, 9769.88, 395.87
62, 123822.81, 10172.39, 406.40
63, 122883.48, 10585.07, 417.22
64, 121944.14, 11008.13, 428.28
65, 121004.81, 11441.72, 439.56
66, 120083.90, 11877.20, 450.90
67, 119162.98, 12323.15, 462.46
68, 118223.65, 12788.97, 474.55
69, 117284.31, 13266.06, 486.92
70, 116344.97, 13754.60, 499.60
71, 115405.64, 14254.83, 512.59
72, 114466.30, 14766.93, 525.89
73, 113526.97, 15291.11, 539.52
74, 112587.63, 15827.59, 553.46
