время, масса, высота, скорость
1, 174943.01, 2.67, 5.40
2, 173963.26, 10.83, 10.93
3, 172983.58, 24.58, 16.55
4, 172004.00, 44.01, 22.27
5, 171024.55, 69.20, 28.07
6, 170045.27, 100.24, 33.96
7, 169066.20, 137.22, 39.94
8, 168087.38, 180.24, 46.02
9, 167108.83, 229.40, 52.19
10, 166130.59, 284.78, 58.46
11, 165152.70, 346.48, 64.83
12, 164175.19, 414.61, 71.30
13, 163198.11, 489.25, 77.86
14, 162221.48, 570.52, 84.53
15, 161245.34, 658.52, 91.30
16, 160269.73, 753.34, 98.18
17, 159294.67, 855.10, 105.16
18, 158320.21, 963.89, 112.25
19, 157346.38, 1079.83, 119.45
20, 156373.21, 1203.03, 126.77
21, 155400.73, 1333.59, 134.19
22, 154428.97, 1471.63, 141.73
23, 153457.97, 1617.26, 149.38
24, 152487.76, 1770.59, 157.16
25, 151518.35, 1931.74, 165.05
26, 150549.79, 2100.83, 173.06
27, 149582.09, 2277.98, 181.20
28, 148615.29, 2463.29, 189.46
29, 147649.40, 2656.90, 197.85
30, 146684.44, 2858.93, 206.37
31, 145720.44, 3069.49, 215.02
32, 144757.42, 3288.72, 223.81
33, 143795.39, 3516.73, 232.72
34, 142834.38, 3753.65, 241.78
35, 141874.38, 3999.61, 250.97
36, 140915.42, 4254.73, 260.31
37, 139957.50, 4519.15, 269.79
38, 139000.63, 4792.99, 279.41
39, 138044.82, 5076.38, 289.18
40, 137090.07, 5369.46, 299.11
41, 136136.39, 5672.34, 309.18
42, 135183.76, 5985.17, 319.41
43, 134232.19, 6308.06, 329.80
44, 133281.67, 6641.17, 340.35
45, 132332.20, 6984.60, 351.06
46, 131383.75, 7338.51, 361.93
47, 130436.33, 7703.01, 372.98
48, 129489.91, 8078.23, 384.19
49, 128544.48, 8464.32, 395.58
50, 127600.02, 8861.38, 407.14
51, 126656.50, 9269.56, 418.88
52, 125713.91, 9688.97, 430.80
53, 124772.21, 10119.75, 442.90
54, 123831.37, 10562.02, 455.20
55, 122891.37, 11015.90, 467.68
56, 121952.07, 11481.50, 480.35
57, 121013.34, 11958.94, 493.21
58, 120075.14, 12448.35, 506.28
59, 119137.47, 12949.82, 519.54
60, 118200.29, 13463.46, 533.00
61, 117263.57, 13989.37, 546.66
62, 116327.28, 14527.67, 560.54
63, 115391.42, 15078.43, 574.62
64, 114455.94, 15641.75, 588.92
65, 113520.82, 16217.72, 603.43
66, 112586.05, 16806.41, 618.16
67, 111651.60, 17407.89, 633.12
68, 110717.45, 18022.25, 648.29
69, 109783.58, 18649.53, 663.70
70, 108849.97, 19289.80, 679.33
71, 107916.60, 19943.09, 695.20
72, 106983.44, 20609.44, 711.30
73, 106050.46, 21288.90, 727.64
74, 105117.63, 21981.47, 744.22
75, 104184.95, 22687.17, 761.04
76, 103252.40, 23405.99, 778.11
77, 102319.99, 24137.94, 795.43
